Id,Response
20000,8
20001,5
20002,8
20003,8
20004,8
20005,5
20006,6
20007,7
20008,8
20009,8
20010,8
20011,6
20012,8
20013,6
20014,8
20015,6
20016,8
20017,8
20018,6
20019,8
20020,6
20021,8
20022,8
20023,8
20024,6
20025,6
20026,8
20027,8
20028,8
20029,5
20030,8
20031,8
20032,8
20033,6
20034,5
20035,8
20036,8
20037,8
20038,6
20039,8
20040,8
20041,8
20042,6
20043,5
20044,6
20045,1
20046,8
20047,8
20048,8
20049,6
20050,8
20051,5
20052,6
20053,6
20054,5
20055,5
20056,8
20057,8
20058,6
20059,1
20060,8
20061,8
20062,5
20063,8
20064,8
20065,8
20066,8
20067,8
20068,8
20069,8
20070,8
20071,5
20072,8
20073,8
20074,8
20075,8
20076,5
20077,6
20078,8
20079,8
20080,5
20081,8
20082,6
20083,8
20084,5
20085,8
20086,7
20087,8
20088,6
20089,7
20090,6
20091,8
20092,8
20093,6
20094,6
20095,8
20096,8
20097,8
20098,8
20099,8
20100,6
20101,8
20102,8
20103,5
20104,5
20105,8
20106,5
20107,8
20108,5
20109,6
20110,8
20111,6
20112,8
20113,6
20114,8
20115,1
20116,8
20117,5
20118,8
20119,5
20120,8
20121,1
20122,8
20123,8
20124,5
20125,4
20126,8
20127,6
20128,8
20129,8
20130,8
20131,8
20132,5
20133,8
20134,8
20135,8
20136,8
20137,6
20138,6
20139,5
20140,6
20141,8
20142,6
20143,8
20144,8
20145,8
20146,8
20147,5
20148,5
20149,8
20150,5
20151,8
20152,8
20153,8
20154,5
20155,8
20156,8
20157,8
20158,5
20159,5
20160,6
20161,8
20162,8
20163,1
20164,8
20165,6
20166,6
20167,8
20168,6
20169,8
20170,5
20171,6
20172,5
20173,5
20174,8
20175,5
20176,8
20177,6
20178,5
20179,8
20180,8
20181,7
20182,8
20183,8
20184,8
20185,8
20186,7
20187,8
20188,6
20189,8
20190,5
20191,8
20192,8
20193,5
20194,8
20195,8
20196,8
20197,1
20198,6
20199,7
20200,6
20201,8
20202,8
20203,8
20204,6
20205,6
20206,8
20207,8
20208,5
20209,8
20210,8
20211,5
20212,8
20213,8
20214,6
20215,6
20216,5
20217,8
20218,6
20219,8
20220,5
20221,6
20222,5
20223,6
20224,5
20225,6
20226,8
20227,5
20228,5
20229,8
20230,5
20231,8
20232,5
20233,8
20234,6
20235,8
20236,6
20237,8
20238,8
20239,5
20240,8
20241,8
20242,6
20243,5
20244,8
20245,8
20246,6
20247,8
20248,6
20249,8
20250,5
20251,5
20252,7
20253,8
20254,5
20255,8
20256,8
20257,6
20258,6
20259,8
20260,8
20261,6
20262,1
20263,8
20264,8
20265,8
20266,8
20267,6
20268,6
20269,8
20270,6
20271,6
20272,8
20273,1
20274,7
20275,5
20276,8
20277,8
20278,8
20279,5
20280,8
20281,5
20282,6
20283,8
20284,8
20285,8
20286,8
20287,6
20288,8
20289,8
20290,6
20291,8
20292,8
20293,5
20294,8
20295,8
20296,6
20297,8
20298,8
20299,8
20300,1
20301,6
20302,6
20303,6
20304,7
20305,6
20306,5
20307,7
20308,5
20309,6
20310,5
20311,5
20312,5
20313,8
20314,6
20315,6
20316,6
20317,6
20318,8
20319,6
20320,6
20321,6
20322,6
20323,6
20324,6
20325,7
20326,6
20327,8
20328,5
20329,8
20330,8
20331,7
20332,6
20333,8
20334,8
20335,8
20336,8
20337,5
20338,6
20339,7
20340,5
20341,8
20342,5
20343,6
20344,8
20345,5
20346,8
20347,8
20348,8
20349,8
20350,5
20351,8
20352,6
20353,6
20354,8
20355,8
20356,6
20357,8
20358,8
20359,5
20360,5
20361,5
20362,8
20363,8
20364,8
20365,5
20366,5
20367,1
20368,8
20369,8
20370,8
20371,8
20372,6
20373,7
20374,8
20375,5
20376,8
20377,6
20378,8
20379,6
20380,8
20381,6
20382,7
20383,8
20384,8
20385,8
20386,8
20387,5
20388,8
20389,5
20390,8
20391,8
20392,6
20393,5
20394,6
20395,8
20396,7
20397,5
20398,8
20399,6
20400,6
20401,8
20402,8
20403,8
20404,6
20405,1
20406,8
20407,1
20408,8
20409,8
20410,8
20411,8
20412,8
20413,5
20414,6
20415,8
20416,5
20417,5
20418,7
20419,8
20420,8
20421,8
20422,8
20423,5
20424,5
20425,5
20426,5
20427,8
20428,7
20429,8
20430,5
20431,8
20432,1
20433,6
20434,8
20435,6
20436,1
20437,8
20438,8
20439,5
20440,6
20441,6
20442,6
20443,6
20444,8
20445,6
20446,8
20447,8
20448,8
20449,5
20450,1
20451,7
20452,6
20453,6
20454,6
20455,6
20456,5
20457,6
20458,5
20459,6
20460,6
20461,8
20462,5
20463,5
20464,6
20465,6
20466,5
20467,8
20468,8
20469,8
20470,8
20471,8
20472,8
20473,6
20474,8
20475,8
20476,5
20477,6
20478,6
20479,6
20480,6
20481,8
20482,8
20483,6
20484,8
20485,8
20486,8
20487,8
20488,5
20489,8
20490,8
20491,5
20492,8
20493,8
20494,8
20495,6
20496,8
20497,1
20498,6
20499,8
20500,8
20501,8
20502,5
20503,8
20504,8
20505,6
20506,7
20507,8
20508,6
20509,8
20510,8
20511,6
20512,8
20513,6
20514,6
20515,8
20516,8
20517,6
20518,8
20519,8
20520,8
20521,8
20522,8
20523,1
20524,8
20525,8
20526,8
20527,6
20528,6
20529,6
20530,7
20531,6
20532,8
20533,8
20534,8
20535,8
20536,6
20537,6
20538,8
20539,4
20540,5
20541,8
20542,8
20543,5
20544,6
20545,7
20546,5
20547,8
20548,8
20549,8
20550,5
20551,6
20552,5
20553,8
20554,8
20555,5
20556,5
20557,6
20558,6
20559,8
20560,8
20561,7
20562,6
20563,6
20564,5
20565,8
20566,5
20567,5
20568,8
20569,6
20570,6
20571,6
20572,8
20573,8
20574,6
20575,8
20576,8
20577,8
20578,5
20579,6
20580,8
20581,8
20582,6
20583,6
20584,5
20585,8
20586,8
20587,6
20588,5
20589,6
20590,5
20591,6
20592,7
20593,1
20594,5
20595,8
20596,8
20597,5
20598,8
20599,7
20600,8
20601,5
20602,6
20603,6
20604,8
20605,5
20606,8
20607,8
20608,8
20609,8
20610,8
20611,1
20612,5
20613,8
20614,6
20615,8
20616,5
20617,8
20618,5
20619,5
20620,8
20621,8
20622,8
20623,8
20624,8
20625,8
20626,8
20627,8
20628,5
20629,8
20630,5
20631,8
20632,8
20633,8
20634,8
20635,5
20636,6
20637,8
20638,5
20639,8
20640,8
20641,1
20642,8
20643,6
20644,6
20645,1
20646,8
20647,7
20648,6
20649,8
20650,6
20651,8
20652,6
20653,6
20654,5
20655,8
20656,8
20657,6
20658,6
20659,8
20660,6
20661,5
20662,8
20663,8
20664,8
20665,7
20666,8
20667,8
20668,8
20669,8
20670,5
20671,5
20672,8
20673,5
20674,5
20675,6
20676,8
20677,7
20678,8
20679,6
20680,6
20681,8
20682,5
20683,8
20684,8
20685,5
20686,6
20687,8
20688,8
20689,8
20690,8
20691,8
20692,8
20693,6
20694,5
20695,7
20696,6
20697,5
20698,8
20699,1
20700,8
20701,6
20702,8
20703,6
20704,6
20705,8
